imp,feature
-1.5587895492558742e-05,227442_0
-0.0001389070100780026,227443_0
0.00043170523753972856,227445_0
-0.00017623946334904586,227457_0
0.0003222024236643563,227465_0
0.000535613421798733,227466_0
-3.6935832299228806e-06,229356_0
-1.4848709589243071e-05,229357_0
-1.175639042100463e-05,229358_0
2.709990996142706e-07,229359_0
-1.4195478670725482e-06,229360_0
-1.3969617707372174e-07,229361_0
-0.000889492988069032,220224_0
0.000107247159406526,220227_0
0.0005402454880591183,220235_0
-8.628712931508831e-05,220632_0
9.484610310788531e-05,223830_0
-9.933289437654216e-05,224828_0
0.00025580825507001226,225698_0
9.91212279620805e-05,225628_0
4.077653390159313e-06,225637_0
5.980953134692966e-05,225638_0
2.1626044568007128e-05,227468_0
-1.044936086666981e-05,224329_0
-6.111363165181168e-08,224331_0
0.00017269198551358216,225806_0
-1.8335471879828587e-05,225807_0
4.210398584307996e-07,225810_0
-1.1034172802479482e-05,226512_0
0.000350153492338115,220050_0
9.126794079670354e-05,220051_0
0.00010568218071063589,220052_0
-7.878321417534506e-05,220056_0
9.551868465637017e-05,220058_0
-2.4552443586014652e-05,229300_0
1.5908842212034072e-05,226707_0
4.0769787083668866e-05,226730_0
1.884290894898673e-05,224917_0
1.0447960104383053e-05,224952_0
5.5873050812085064e-06,225667_0
0.00012769260839869595,224686_0
2.6340226243113547e-05,224701_0
-7.526660456769322e-05,226537_0
-6.126412788139295e-05,220059_0
-4.278641347158384e-05,220060_0
-0.0001531171926669781,220063_0
-6.940346603418454e-06,220066_0
0.00021312958923255465,224309_0
0.00032014331257553425,224310_0
0.00011989859454075376,224311_0
0.00021821312848354388,224322_0
0.00025876430485644464,224652_0
0.00013959979777178723,224654_0
-0.0002508550916155427,224662_0
0.00031085230067407534,225309_0
8.310451298039773e-05,225310_0
0.0001869421028204323,225312_0
6.0123609432235607e-05,225674_0
9.776679583884926e-05,225980_0
1.9092102462127188e-05,227537_0
1.679674895642193e-05,227538_0
0.0002209434443638674,228866_0
9.569715231702618e-05,220074_0
1.1721589504115199e-05,220581_0
-0.00015777029463469837,225672_0
0.00035120512517157,227686_0
-6.81928952973279e-05,220061_0
-8.744099007394483e-05,220072_0
9.721014646415427e-06,220073_0
-1.939321254836579e-05,220088_0
5.1732755727884974e-05,223762_0
-0.0006955640415336915,224751_0
-7.515787605405696e-06,224753_0
-0.00014279189705410024,224755_0
-1.903881680462902e-05,224837_0
-5.208887293016564e-05,224838_0
-0.0008139296777954163,226534_0
-0.0005831448770456742,226536_0
-0.00014285861017753967,226540_0
-0.0001447396223367307,223772_0
-0.0002460846919645821,223773_0
-1.3444115929886005e-05,224661_0
-1.814704543543186e-05,224842_0
-0.00013729134830154548,226329_0
-0.00014741802022253788,227446_0
-6.963142785397437e-07,228610_0
-5.975607571547414e-07,228611_0
1.5162522668296911e-05,228620_0
1.2184686404214895e-05,228621_0
1.852956337016579e-05,228723_0
1.2737249934566726e-05,228724_0
0.0001434175159575887,227627_0
0.00010510586436843419,227628_0
0.00016388739356150545,227632_0
0.00015002927605070306,227634_0
1.950076192215457e-06,224563_0
3.4353503849338003e-07,224900_0
4.317583826263059e-06,224920_0
1.469651011056249e-07,224921_0
3.620951382214318e-07,224956_0
1.6621396284661193e-05,227579_0
2.5008331159998802e-05,227580_0
2.5798520437605063e-05,227582_0
-6.390570724048102e-05,226499_0
7.605139831255797e-05,227454_0
-0.00014088294052813953,220603_0
-2.545729463802557e-05,220624_0
-5.4500396060532356e-05,225671_0
-0.00044013108978330326,225693_0
-1.396256336237705e-06,227441_0
-2.8723552384495644e-05,225636_0
0.0004482426394563974,225684_0
-5.104204031069757e-05,223958_0
-6.034638258539057e-05,223960_0
-1.5544278476754418e-05,224752_0
-8.129128764345692e-05,224754_0
-0.00012349251754719887,224421_0
8.411990657338876e-06,224422_0
-8.540080802612144e-06,228878_0
5.0725364784917116e-05,227287_0
0.00014285224952561602,227463_0
6.752946999464521e-06,225695_0
4.5982421665495895e-07,228177_0
1.2705184602380948e-07,228178_0
-1.4878413510956275e-05,228180_0
0.000257454738348516,227516_0
8.778797449770668e-06,225651_0
-6.647523530354798e-05,224167_0
-3.46352893654058e-05,224643_0
-4.61664812728034e-05,227242_0
-8.998498675797458e-05,227243_0
8.106850921669351e-05,223763_0
-8.265141874772832e-05,224845_0
2.2514107477150515e-06,224404_0
2.3137783360895898e-06,224406_0
3.1919965908891426e-06,224418_0
2.1270987034315335e-05,220580_0
1.919226261576463e-06,220650_0
-5.8656851063300594e-08,227647_0
-4.006540669551444e-07,227447_0
1.2038338497737702e-06,224895_0
7.568416743058509e-05,226846_0
5.639400559526343e-05,223771_0
6.498823824878134e-06,228151_0
8.911076307423857e-06,228152_0
5.144560523403504e-07,228154_0
5.0699056816200484e-05,228158_0
1.6434289147215822e-06,228159_0
2.1180085873474886e-05,227461_0
1.0268739852515712e-05,224918_0
7.728071164133584e-06,224919_0
4.666089191265241e-06,224953_0
3.669759726842999e-06,224954_0
3.008547057841258e-06,224955_0
1.8536002865502994e-05,226183_0
8.045999156236016e-07,226184_0
-5.98825507985638e-06,228872_0
-5.344266736365371e-07,228873_0
-1.447552345111486e-05,229301_0
-4.4689457411876325e-06,229355_0
4.322056836112387e-06,228622_0
4.584423544214934e-06,228725_0
-8.72234443108257e-07,224366_0
-2.777676827412781e-05,227462_0
-1.905818345863326e-05,224419_0
-6.298516669281177e-05,224420_0
6.641176581076945e-08,229270_0
7.732979023440494e-05,229277_0
1.8815285831723425e-06,229280_0
-1.4685132991741695e-06,227581_0
9.103116780792604e-06,224702_0
1.9541476739947617e-05,224144_0
-3.4405971320148655e-05,224149_0
2.392246129574661e-06,224150_0
-5.6012447512838e-05,224151_0
-7.855621517220851e-06,224152_0
4.132713068060534e-05,224153_0
0.00028354843011317837,224154_0
0.00017343879576453878,224191_0
0.00010897165743561314,225183_0
-0.00021730421524965404,226457_0
-2.805102487910524e-05,228005_0
3.5163245243807726e-05,228006_0
7.758032878326761e-07,224896_0
-1.9617323068272715e-06,227440_0
5.8000027046586596e-05,228004_0
5.6771091822326275e-05,229247_0
1.7887623593204042e-05,229248_0
3.5406041450555606e-07,224899_0
1.873182345432973e-05,220765_0
6.803866772556788e-07,227989_0
2.4304676185962796e-07,224897_0
2.144588216172083e-07,224898_0
1.1388044358774828e-06,224922_0
9.104393909831408e-07,224957_0
3.1773287371235897e-06,227543_0
1.3498703641531761e-05,227187_0
8.789285750755833e-05,227470_0
7.894233330026117e-06,228368_0
2.866013416851706e-06,228370_0
7.039330638867526e-05,228375_0
1.6461881873331254e-05,228377_0
3.992420597312483e-05,224705_0
2.716486651062172e-05,224706_0
1.9084513051141307e-05,224707_0
5.755571470936618e-07,224709_0
-1.0410925980327905e-05,220194_0
1.411360822136717e-06,228623_0
6.055682865291126e-07,228726_0
5.376484295263759e-07,228727_0
-1.3964536443614965e-05,229160_0
-1.1827708431427243e-06,224749_0
0.00021615571408065425,224750_0
1.0593342756536996e-05,227546_0
2.18302775754823e-05,227547_0
-1.6598067313541255e-07,229823_0
-4.299969467402476e-06,229827_0
-0.00021174041406126675,229829_0
6.781791680081914e-06,228369_0
3.9009677064275954e-05,228374_0
-4.815847495114171e-05,228381_0
-0.00017969573592990461,228382_0
5.4048728275035216e-05,227455_0
2.6798007664669106e-06,229761_0
3.403585938166543e-07,223768_0
4.192462445729571e-05,227717_0
0.00013276948030536647,227066_0
5.1283845921594644e-05,224145_0
2.4966022759847692e-06,227549_0
-1.8556665736515041e-06,224746_0
2.6978096301244417e-06,224747_0
1.565709109167815e-08,224411_0
-9.8957202151002e-08,228613_0
1.1826429449012209e-07,228614_0
-7.133387376488348e-08,228615_0
0.0,228616_0
3.808846384975957e-07,228624_0
3.101833847875268e-08,228625_0
4.715186409955449e-07,228626_0
3.3390052278479565e-07,228728_0
9.836560199507337e-07,228729_0
-2.4234663854613573e-05,223764_0
-3.027191938529145e-05,223765_0
-3.5895063458612e-05,224645_0
-3.821517312116464e-05,224646_0
-1.928814783257735e-05,226092_0
-2.205592917243155e-05,226094_0
-5.506381110347924e-05,224359_0
2.7432494439142286e-05,229363_0
2.4284256667290537e-05,229364_0
3.06849036008486e-06,229365_0
6.364704255881415e-06,229668_0
1.4912054169640604e-05,229669_0
2.4419401189600194e-07,229671_0
4.745098030948157e-05,229677_0
1.6265069154852379e-06,229678_0
1.935325323801373e-05,224367_0
1.698395068853562e-05,228162_0
-5.9137194774181624e-06,225692_0
4.0308784249721094e-05,223767_0
8.165702783240699e-05,227716_0
-1.336316462741074e-06,227775_0
2.3795859525027585e-07,228176_0
1.306113860944065e-07,228179_0
9.598934236439549e-06,228182_0
1.7220647394960815e-06,228184_0
2.78112311755764e-05,228185_0
-1.3449727764077683e-05,224710_0
-1.495016432966136e-05,224711_0
-1.0823305406026496e-07,228198_0
-1.9815111584284028e-05,223766_0
-1.4650777338714871e-05,224647_0
-1.1125735882695748e-05,226096_0
1.7660079008255674e-05,227469_0
-2.0724978584065382e-06,227460_0
3.2470691540905945e-07,228627_0
1.8141170574269156e-07,228628_0
2.864123331330204e-06,228730_0
3.0424855639219673e-07,228731_0
2.414150411732627e-06,227451_0
-7.217584044505383e-08,229240_0
-4.067840673997762e-07,226504_0
-1.379854170286649e-06,229302_0
1.6602485507195068e-06,224166_0
1.0554326198212128e-06,228378_0
1.6575183991578297e-06,227990_0
-1.6575183991578424e-07,227991_0
6.397323933072497e-06,229626_0
1.73164905272269e-07,229627_0
2.0707439991552315e-06,224704_0
-5.840556252973231e-07,227449_0
1.8918305145981393e-06,229374_0
-1.380724631760563e-05,224728_0
-2.3931584370228458e-08,227602_0
-4.786316874045716e-09,227614_0
1.9204034534650463e-05,228379_0
3.320184246140192e-07,228618_0
1.660092123070096e-07,228629_0
2.7668202051168306e-07,228732_0
7.371439924052993e-07,227452_0
-6.826560657121798e-07,227645_0
-6.826560657121798e-07,227646_0
-6.504379974438029e-08,228189_0
-8.558394703207883e-08,228192_0
0.0,226739_0
0.0,226744_0
0.0,226745_0
0.0,226764_0
0.0,226766_0
0.0,226774_0
0.0,226778_0
1.3432105413432768e-05,227919_0
-3.3998931376219575e-06,227926_0
0.0,228617_0
-1.8040547652080575e-06,227861_0
-1.7100935795201276e-06,227867_0
-1.7288858166577087e-06,227873_0
-2.5528499972244814e-08,224901_0
1.8788345779463077e-05,227933_0
2.685895226718862e-07,220128_0
2.7120990825892487e-06,223775_0
3.2754819838034694e-06,224659_0
-4.23234798053967e-08,227450_0
-4.325334812516725e-08,229255_0
-3.3966057536029794e-05,229263_0
-8.026689077530993e-08,227448_0
-2.7135026097898417e-06,224314_0
-2.8593898468752827e-06,224315_0
-2.7135026097898417e-06,224317_0
-2.771857504624019e-06,224318_0
0.0,227453_0
-0.00022001832683793014,222168_1
-8.422025163836762e-05,223258_1
-0.00023123801403499017,225158_1
3.067376966815584e-06,225942_1
-0.000124914208719404,225943_1
0.0003048411871137844,220949_1
3.791555640191442e-05,225152_1
4.408996489871737e-05,221906_1
-0.00043532901195678564,225159_1
0.00014980854954926165,225823_1
-0.000179160424771863,225828_1
-0.00042528071930706464,225168_1
-0.00012905848476144202,225825_1
0.00012377448913243998,221668_1
4.541017484728974e-05,220950_1
7.746693215257909e-07,229624_1
-7.98564244379362e-06,229640_1
-6.777200287044053e-07,221289_1
-4.596787043039157e-05,220864_1
9.001783895675842e-05,221749_1
-0.00020632750431543242,226089_1
0.00016875646242081477,221662_1
-3.475022136414308e-05,225910_1
7.412263771763095e-05,221794_1
6.22105494162691e-07,221986_1
3.834212393887343e-05,221347_1
-1.0118389907793622e-07,221744_1
8.993841845882456e-05,225945_1
-0.0001782088124009142,227522_1
-9.519369239516527e-05,227523_1
-3.4346929356790566e-05,225153_1
-9.444862632417002e-05,229420_1
-7.210795293142346e-05,225155_1
-0.00010888773046312097,222056_1
0.00034979176597190777,228340_1
0.0003108922710438419,220970_1
-3.7392581779470204e-05,225944_1
0.00016046216517541262,220862_1
8.609788883366476e-07,225830_1
1.2035462949469142e-06,228339_1
7.802572087276832e-06,229630_1
-8.140933247379263e-06,221555_1
0.0004089051414954953,225161_1
4.5681149938442106e-05,222042_1
0.0001447855098032758,222315_1
-9.326460027056602e-06,227532_1
6.358227082538491e-06,225171_1
-2.9958499970808304e-06,221712_1
-0.0005084359850748184,221429_1
0.0003665596532479165,229654_1
-6.8850480500893134e-06,222051_1
2.3615964891673014e-05,225150_1
0.0002337523095974517,221653_1
0.00017193046950287418,225170_1
0.0004056345865934634,229597_1
1.770054880417049e-05,221468_1
-9.291452168554799e-05,228351_1
-0.0006857020643302644,228315_1
-2.199026522002086e-06,225148_1
-8.018112639882553e-06,228135_1
-4.441555295485843e-06,227525_1
-0.0004067588310319197,227529_1
-2.343198955363026e-06,227536_1
5.723735271785569e-06,225151_1
9.375849109116309e-05,225916_1
5.324549046138918e-05,228367_1
-2.8520760827508947e-06,229233_1
-0.00024349488220364938,229057_1
-2.0599142132778985e-06,225147_1
-4.999121357353839e-06,221319_1
1.7580193177684657e-07,225157_1
-7.246161238867975e-06,227530_1
-0.00015046590590575044,225827_1
0.0,227520_1
6.49351319840613e-05,228316_1
4.917603331726186e-07,229234_1
6.827679545339758e-05,225941_1
-3.5826944491661984e-08,227692_1
0.00010477394461219953,225917_1
-7.411648212543198e-08,222021_1
-8.003604725528393e-05,222151_1
-1.4115760594827925e-05,228359_1
1.7628261725512544e-05,227531_1
-4.699750226488116e-05,225931_1
-2.583087177737186e-05,229011_1
2.0690654299376584e-06,229010_1
-8.379214723367254e-06,228140_1
-2.2979560612914874e-06,229295_1
-1.3864346776203506e-05,229013_1
-1.1566316760080946e-05,229009_1
-8.277988397322976e-06,228363_1
-1.2872825174556888e-07,229639_1
2.965595175169551e-06,221833_1
-1.9346397864189932e-09,222037_1
2.7594352385412337e-05,227695_1
-2.911445510604815e-05,225936_1
-5.9056972912050414e-05,229058_1
0.00011252917683802127,226880_1
-4.841323378334277e-05,225920_1
5.274319253682237e-06,225154_1
-1.0091439522977013e-05,221036_1
-1.3279076846707531e-09,229066_1
-1.769699610646691e-07,221261_1
6.612021894244426e-05,229297_1
1.2770294607927856e-07,229618_1
6.878962777574938e-06,222062_1
